source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"LIC stock slumps on reports of ₹10,000 crore stake sale - theweek.in","LIC stock slumps on reports of ₹10,000 crore stake sale  theweek.in",2026-05-27 10:20:44,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"LIC Shares Fall 3% On Buzz of Government Stake Sale Worth Up To ₹9,000 Crore - HDFC Sky","LIC Shares Fall 3% On Buzz of Government Stake Sale Worth Up To ₹9,000 Crore  HDFC Sky",2026-05-27 08:51:23,,0.209,0.0,0.791,0.7351,Positive
GoogleNews,LIC OFS soon? Stock tumbles 4% amid reports that govt may sell around 2% stake - Upstox,LIC OFS soon? Stock tumbles 4% amid reports that govt may sell around 2% stake  Upstox,2026-05-27 08:47:54,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Why Are LIC Shares Falling Ahead Of Bonus Issue? Govt Stake Sale Buzz, Dividend, Record Date Explained - Goodreturns","Why Are LIC Shares Falling Ahead Of Bonus Issue? Govt Stake Sale Buzz, Dividend, Record Date Explained  Goodreturns",2026-05-27 07:46:16,,0.256,0.07,0.674,0.8611,Positive
GoogleNews,"LIC shares drop 4% on Rs 10,000 crore govt stake sale buzz - The Economic Times","LIC shares drop 4% on Rs 10,000 crore govt stake sale buzz  The Economic Times",2026-05-27 07:38:31,,0.124,0.118,0.758,0.0516,Positive
GoogleNews,"NSE IPO Update: Draft Papers Likely by June Second Week; LIC, SBI, SHCIL & Global Funds Among Key Shareholders - Goodreturns","NSE IPO Update: Draft Papers Likely by June Second Week; LIC, SBI, SHCIL & Global Funds Among Key Shareholders  Goodreturns",2026-05-27 07:35:20,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Govt prepares ₹10,000 crore LIC stake sale next month - BusinessLine","Govt prepares ₹10,000 crore LIC stake sale next month  BusinessLine",2026-05-27 07:21:16,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC 1:1 bonus bonanza: Is today the last day to buy shares for free rewards? - The Economic Times,LIC 1:1 bonus bonanza: Is today the last day to buy shares for free rewards?  The Economic Times,2026-05-27 07:00:00,,0.459,0.0,0.541,0.9737,Positive
GoogleNews,Govt likely to begin formal marketing for $1 bn LIC stake sale next month - Business Standard,Govt likely to begin formal marketing for $1 bn LIC stake sale next month  Business Standard,2026-05-27 06:45:02,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"LIC shares fall 3% as report says govt likely to sell 2% stake to raise up to Rs 10,000 crore - Moneycontrol.com","LIC shares fall 3% as report says govt likely to sell 2% stake to raise up to Rs 10,000 crore  Moneycontrol.com",2026-05-27 06:35:41,,0.097,0.0,0.903,0.5267,Positive
